code,name,nationality,gender,age,age_grouped,country,country_code,current,disciplines,function,events,sporting_relatives,ismedalist_true,medallists.event,medallists.is_medallist,medallists.medal_type
1891289,AGBEGNENOU Clarisse,France,Female,32,26-32,France,FRA,true,Judo,Athlete,"Women -63 kg, Mixed Team",TRUE,1,Mixed Team,true,Gold Medal
1891289,AGBEGNENOU Clarisse,France,Female,32,26-32,France,FRA,true,Judo,Athlete,"Women -63 kg, Mixed Team",TRUE,1,Women -63 kg,true,Bronze Medal
1934586,AHMAN David,Sweden,Male,23,19-25,Sweden,SWE,true,Beach Volleyball,Athlete,Men,TRUE,1,Men,true,Gold Medal
1563010,AHMED Sara,Egypt,Female,27,26-32,Egypt,EGY,true,Weightlifting,Athlete,"""Womens 81kg""",FALSE,1,Women's 81kg,true,Silver Medal
1902069,AKAMA Liz,Japan,Female,16,12-18,Japan,JPN,true,Skateboarding,Athlete,"""Womens Street""",FALSE,1,Women's Street,true,Silver Medal
1568186,AKBAS Hatice,Türkiye,Female,23,19-25,Türkiye,TUR,true,Boxing,Athlete,"""Womens 54kg""",TRUE,1,Women's 54kg,true,Silver Medal
1570546,AKGUL Taha,Türkiye,Male,34,33-39,Türkiye,TUR,true,Wrestling,Athlete,"""Mens Freestyle 125kg""",FALSE,1,Men's Freestyle 125kg,true,Bronze Medal
1965995,AKHOMACH Ilias,Morocco,Male,21,19-25,Morocco,MAR,true,Football,Athlete,Men,FALSE,1,Men,true,Bronze Medal
1955669,AKIO Augusto,Brazil,Male,24,19-25,Brazil,BRA,true,Skateboarding,Athlete,"""Mens Park""",FALSE,1,Men's Park,true,Bronze Medal
1900626,AKLIOUCHE Maghnes,France,Male,23,19-25,France,FRA,true,Football,Athlete,Men,FALSE,1,Men,true,Silver Medal
1897088,ALBA Rafael,Cuba,Male,31,26-32,Cuba,CUB,true,Taekwondo,Athlete,Men +80kg,FALSE,1,Men +80kg,true,Bronze Medal
1971903,ALBERS Felice,Netherlands,Female,25,19-25,Netherlands,NED,true,Hockey,Athlete,Women,FALSE,1,Women,true,Gold Medal
1943542,ALBERT Korbin,United States,Female,21,19-25,United States,USA,true,Football,Athlete,Women,TRUE,1,Women,true,Gold Medal
1538244,ALBERTARRIO Agustina,Argentina,Female,32,26-32,Argentina,ARG,true,Hockey,Athlete,Women,FALSE,1,Women,true,Bronze Medal
1573627,ALBICY Andrew,France,Male,35,33-39,France,FRA,true,Basketball,Athlete,Men,FALSE,1,Men,true,Silver Medal
1908817,ALCANTARA REYES Yunior,Dominican Republic,Male,21,19-25,Dominican Republic,DOM,true,Boxing,Athlete,"""Mens 51kg""",FALSE,1,Men's 51kg,true,Bronze Medal
1563682,ALCARAZ Carlos,Spain,Male,22,19-25,Spain,ESP,true,Tennis,Athlete,"""Mens Doubles"", ""Mens Singles""",FALSE,1,Men's Singles,true,Silver Medal
1899728,ALDRIDGE Eleanor,Great Britain,Female,28,26-32,Great Britain,GBR,true,Sailing,Athlete,"""Womens Kite""",FALSE,1,Women's Kite,true,Gold Medal
1901025,ALDRIDGE Matt,Great Britain,Male,29,26-32,Great Britain,GBR,true,Rowing,Athlete,"""Mens Four""",TRUE,1,Men's Four,true,Bronze Medal
1922593,ALEKNA Mykolas,Lithuania,Male,22,19-25,Lithuania,LTU,true,Athletics,Athlete,"""Mens Discus Throw""",TRUE,1,Men's Discus Throw,true,Silver Medal
1532872,ALEKSANYAN Artur,Armenia,Male,33,33-39,Armenia,ARM,true,Wrestling,Athlete,"""Mens Greco-Roman 97kg""",FALSE,1,Men's Greco-Roman 97kg,true,Silver Medal
1929685,ALESSIO Simone,Italy,Male,25,19-25,Italy,ITA,true,Taekwondo,Athlete,Men -80kg,FALSE,1,Men -80kg,true,Bronze Medal
1964152,ALEXANDRE COSTA NUNES Nyeme Victor,Brazil,Female,26,26-32,Brazil,BRA,true,Volleyball,Athlete,Women,FALSE,1,Women,true,Bronze Medal
1935869,ALEXY Jack,United States,Male,22,19-25,United States,USA,true,Swimming,Athlete,"""Mens 100m Freestyle"", ""Mens 4 x 100m Freestyle Relay"", ""Mens 4 x 100m Medley Relay""",TRUE,1,Men's 4 x 100m Freestyle Relay,true,Gold Medal
1935869,ALEXY Jack,United States,Male,22,19-25,United States,USA,true,Swimming,Athlete,"""Mens 100m Freestyle"", ""Mens 4 x 100m Freestyle Relay"", ""Mens 4 x 100m Medley Relay""",TRUE,1,Men's 4 x 100m Medley Relay,true,Silver Medal
1972343,ALFONSO DOMINGUEZ Loren Berto,Azerbaijan,Male,29,26-32,Azerbaijan,AZE,true,Boxing,Athlete,"""Mens 92kg""",FALSE,1,Men's 92kg,true,Silver Medal
1537325,ALFRED Julien,Saint Lucia,Female,24,19-25,Saint Lucia,LCA,true,Athletics,Athlete,"""Womens 100m"", ""Womens 200m""",FALSE,1,Women's 100m,true,Gold Medal
1537325,ALFRED Julien,Saint Lucia,Female,24,19-25,Saint Lucia,LCA,true,Athletics,Athlete,"""Womens 100m"", ""Womens 200m""",FALSE,1,Women's 200m,true,Silver Medal
1960721,ALLMAN Valarie,United States,Female,30,26-32,United States,USA,true,Athletics,Athlete,"""Womens Discus Throw""",FALSE,1,Women's Discus Throw,true,Gold Medal
1538253,ALONSO Agostina,Argentina,Female,29,26-32,Argentina,ARG,true,Hockey,Athlete,Women,FALSE,1,Women,true,Bronze Medal
1958461,ALONSO Gracia,Spain,Female,32,26-32,Spain,ESP,true,3x3 Basketball,Athlete,Women,FALSE,1,Women,true,Silver Medal
1943038,ALVAREZ Anita,United States,Female,28,26-32,United States,USA,true,Artistic Swimming,Athlete,Team,TRUE,1,Team,true,Silver Medal
1555537,ALVAREZ BORGES Erislandy,Cuba,Male,24,19-25,Cuba,CUB,true,Boxing,Athlete,"""Mens 63.5kg""",FALSE,1,Men's 63.5kg,true,Gold Medal
1931496,AMAN Aman,India,Male,21,19-25,India,IND,true,Wrestling,Athlete,"""Mens Freestyle 57kg""",FALSE,1,Men's Freestyle 57kg,true,Bronze Medal
1901026,AMBLER David,Great Britain,Male,27,26-32,Great Britain,GBR,true,Rowing,Athlete,"""Mens Four""",TRUE,1,Men's Four,true,Bronze Medal
1953038,AMI,Japan,Female,26,26-32,Japan,JPN,true,Breaking,Athlete,B-Girls,TRUE,1,B-Girls,true,Gold Medal
1544830,AMOUZADKHALILI Rahman,IR Iran,Male,22,19-25,IR Iran,IRI,true,Wrestling,Athlete,"""Mens Freestyle 65kg""",TRUE,1,Men's Freestyle 65kg,true,Silver Medal
1532873,AMOYAN Malkhas,Armenia,Male,26,26-32,Armenia,ARM,true,Wrestling,Athlete,"""Mens Greco-Roman 77kg""",TRUE,1,Men's Greco-Roman 77kg,true,Bronze Medal
1928064,AN Baul,Korea,Male,31,26-32,Korea,KOR,true,Judo,Athlete,"Men -66 kg, Mixed Team",FALSE,1,Mixed Team,true,Bronze Medal
1913382,AN Qixuan,China,Female,24,19-25,China,CHN,true,Archery,Athlete,"""Womens Individual"", ""Womens Team""",FALSE,1,Women's Team,true,Silver Medal
1891498,AN Se Young,Korea,Female,23,19-25,Korea,KOR,true,Badminton,Athlete,"""Womens Singles""",TRUE,1,Women's Singles,true,Gold Medal
1967565,ANA VITORIA,Brazil,Female,25,19-25,Brazil,BRA,true,Football,Athlete,Women,FALSE,1,Women,true,Silver Medal
1946183,ANDERSON Iona,Australia,Female,19,19-25,Australia,AUS,true,Swimming,Athlete,"""Womens 100m Backstroke"", ""Womens 4 x 100m Medley Relay"", Mixed 4 x 100m Medley Relay",FALSE,1,Mixed 4 x 100m Medley Relay,true,Bronze Medal
1946183,ANDERSON Iona,Australia,Female,19,19-25,Australia,AUS,true,Swimming,Athlete,"""Womens 100m Backstroke"", ""Womens 4 x 100m Medley Relay"", Mixed 4 x 100m Medley Relay",FALSE,1,Women's 4 x 100m Medley Relay,true,Silver Medal
1901027,ANDERSON Lola,Great Britain,Female,27,26-32,Great Britain,GBR,true,Rowing,Athlete,"""Womens Quadruple Sculls""",TRUE,1,Women's Quadruple Sculls,true,Gold Medal
1917987,ANDERSON Matthew,United States,Male,38,33-39,United States,USA,true,Volleyball,Athlete,Men,FALSE,1,Men,true,Bronze Medal
1895178,ANDERSSON Lasse,Denmark,Male,31,26-32,Denmark,DEN,true,Handball,Athlete,Men,TRUE,1,Men,true,Gold Medal
1953634,ANDRADE Rebeca,Brazil,Female,26,26-32,Brazil,BRA,true,Artistic Gymnastics,Athlete,"Women, ""Womens All-Around"", ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault"", ""Womens Team""",FALSE,1,Women's All-Around,true,Silver Medal
1953634,ANDRADE Rebeca,Brazil,Female,26,26-32,Brazil,BRA,true,Artistic Gymnastics,Athlete,"Women, ""Womens All-Around"", ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault"", ""Womens Team""",FALSE,1,Women's Floor Exercise,true,Gold Medal
1953634,ANDRADE Rebeca,Brazil,Female,26,26-32,Brazil,BRA,true,Artistic Gymnastics,Athlete,"Women, ""Womens All-Around"", ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault"", ""Womens Team""",FALSE,1,Women's Team,true,Bronze Medal
1953634,ANDRADE Rebeca,Brazil,Female,26,26-32,Brazil,BRA,true,Artistic Gymnastics,Athlete,"Women, ""Womens All-Around"", ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault"", ""Womens Team""",FALSE,1,Women's Vault,true,Silver Medal
1946278,ANDRASFI Tibor,Hungary,Male,25,19-25,Hungary,HUN,true,Fencing,Athlete,"""Mens Épée Individual"", ""Mens Épée Team""",TRUE,1,Men's Épée Team,true,Gold Medal
1895640,ANDRE Sylvain,France,Male,32,26-32,France,FRA,true,Cycling BMX Racing,Athlete,Men,TRUE,1,Men,true,Silver Medal
1902787,ANDREEV Bozhidar Dimitrov,Bulgaria,Male,28,26-32,Bulgaria,BUL,true,Weightlifting,Athlete,"""Mens 73kg""",FALSE,1,Men's 73kg,true,Bronze Medal
1979734,ANDREEVA Mirra,Russian Federation,Female,18,12-18,AIN,AIN,true,Tennis,Athlete,"""Womens Doubles"", ""Womens Singles"", Mixed Doubles",TRUE,1,Women's Doubles,true,Silver Medal
1560761,ANDREOLI Angela,Italy,Female,19,19-25,Italy,ITA,true,Artistic Gymnastics,Athlete,"Women, ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault"", ""Womens Team""",FALSE,1,Women's Team,true,Silver Medal
1947497,ANDREWS Abby,Australia,Female,24,19-25,Australia,AUS,true,Water Polo,Athlete,Women,FALSE,1,Women,true,Silver Medal
1947508,ANDREWS Charlize,Australia,Female,23,19-25,Australia,AUS,true,Water Polo,Athlete,Women,FALSE,1,Women,true,Silver Medal
1945040,ANDREWS Ellesse,New Zealand,Female,25,19-25,New Zealand,NZL,true,Cycling Track,Athlete,"""Womens Keirin"", ""Womens Sprint"", ""Womens Team Sprint""",TRUE,1,Women's Keirin,true,Gold Medal
1945040,ANDREWS Ellesse,New Zealand,Female,25,19-25,New Zealand,NZL,true,Cycling Track,Athlete,"""Womens Keirin"", ""Womens Sprint"", ""Womens Team Sprint""",TRUE,1,Women's Sprint,true,Gold Medal
1945040,ANDREWS Ellesse,New Zealand,Female,25,19-25,New Zealand,NZL,true,Cycling Track,Athlete,"""Womens Keirin"", ""Womens Sprint"", ""Womens Team Sprint""",TRUE,1,Women's Team Sprint,true,Silver Medal
1967567,ANGELINA,Brazil,Female,25,19-25,Brazil,BRA,true,Football,Athlete,Women,FALSE,1,Women,true,Silver Medal
1550289,ANGHEL Roxana,Romania,Female,27,26-32,Romania,ROU,true,Rowing,Athlete,"""Womens Eight"", ""Womens Pair""",FALSE,1,Women's Eight,true,Gold Medal
1550289,ANGHEL Roxana,Romania,Female,27,26-32,Romania,ROU,true,Rowing,Athlete,"""Womens Eight"", ""Womens Pair""",FALSE,1,Women's Pair,true,Silver Medal
1924383,ANNING Amber,Great Britain,Female,24,19-25,Great Britain,GBR,true,Athletics,Athlete,"""Womens 400m"", ""Womens 4 x 400m Relay"", 4 x 400m Relay Mixed",FALSE,1,4 x 400m Relay Mixed,true,Bronze Medal
1924383,ANNING Amber,Great Britain,Female,24,19-25,Great Britain,GBR,true,Athletics,Athlete,"""Womens 400m"", ""Womens 4 x 400m Relay"", 4 x 400m Relay Mixed",FALSE,1,Women's 4 x 400m Relay,true,Bronze Medal
1892022,ANRAKU Sorato,Japan,Male,18,12-18,Japan,JPN,true,Sport Climbing,Athlete,"""Mens Boulder & Lead""",FALSE,1,Men's Boulder & Lead,true,Silver Medal
1967575,ANTONIA,Brazil,Female,31,26-32,Brazil,BRA,true,Football,Athlete,Women,FALSE,1,Women,true,Silver Medal
1921743,ANTROPOVA Ekaterina,Italy,Female,22,19-25,Italy,ITA,true,Volleyball,Athlete,Women,FALSE,1,Women,true,Gold Medal
1880578,ANYOMI Nicole,Germany,Female,25,19-25,Germany,GER,true,Football,Athlete,Women,FALSE,1,Women,true,Bronze Medal
1916230,APITHY Bolade,France,Male,39,33-39,France,FRA,true,Fencing,Athlete,"""Mens Sabre Individual"", ""Mens Sabre Team""",TRUE,1,Men's Sabre Team,true,Bronze Medal
1916223,APITHY-BRUNET Manon,France,Female,29,26-32,France,FRA,true,Fencing,Athlete,"""Womens Sabre Individual"", ""Womens Sabre Team""",TRUE,1,Women's Sabre Individual,true,Gold Medal
1960762,APPS Olivia,Canada,Female,26,26-32,Canada,CAN,true,Rugby Sevens,Athlete,Women,FALSE,1,Women,true,Silver Medal
1947546,ARANCINI Zoe,Australia,Female,33,33-39,Australia,AUS,true,Water Polo,Athlete,Women,TRUE,1,Women,true,Silver Medal
1964151,ARAUJO Natalia,Brazil,Female,28,26-32,Brazil,BRA,true,Volleyball,Athlete,Women,FALSE,1,Women,true,Bronze Medal
1536998,AREGAWI Berihu,Ethiopia,Male,24,19-25,Ethiopia,ETH,true,Athletics,Athlete,"""Mens 10,000m""",FALSE,1,"Men's 10,000m",true,Silver Medal
1953983,AREVALO Carlos,Spain,Male,31,26-32,Spain,ESP,true,Canoe Sprint,Athlete,"""Mens Kayak Double 500m"", ""Mens Kayak Four 500m""",FALSE,1,Men's Kayak Four 500m,true,Bronze Medal
1947513,ARMIT Elle,Australia,Female,33,33-39,Australia,AUS,true,Water Polo,Athlete,Women,FALSE,1,Women,true,Silver Medal
1935871,ARMSTRONG Hunter,United States,Male,24,19-25,United States,USA,true,Swimming,Athlete,"""Mens 100m Backstroke"", ""Mens 4 x 100m Freestyle Relay"", ""Mens 4 x 100m Medley Relay""",FALSE,1,Men's 4 x 100m Freestyle Relay,true,Gold Medal
1935871,ARMSTRONG Hunter,United States,Male,24,19-25,United States,USA,true,Swimming,Athlete,"""Mens 100m Backstroke"", ""Mens 4 x 100m Freestyle Relay"", ""Mens 4 x 100m Medley Relay""",FALSE,1,Men's 4 x 100m Medley Relay,true,Silver Medal
1895236,ARNOLDSEN Thomas,Denmark,Male,23,19-25,Denmark,DEN,true,Handball,Athlete,Men,TRUE,1,Men,true,Gold Medal
1974048,AROP Marco,Canada,Male,26,26-32,Canada,CAN,true,Athletics,Athlete,"""Mens 800m""",TRUE,1,Men's 800m,true,Silver Medal
1956347,ARUNOVIC Zorana,Serbia,Female,38,33-39,Serbia,SRB,true,Shooting,Athlete,"10m Air Pistol Women, 10m Air Pistol Mixed Team",TRUE,1,10m Air Pistol Mixed Team,true,Gold Medal
1924384,ASHER-SMITH Dina,Great Britain,Female,29,26-32,Great Britain,GBR,true,Athletics,Athlete,"""Womens 100m"", ""Womens 200m"", ""Womens 4 x 100m Relay""",FALSE,1,Women's 4 x 100m Relay,true,Silver Medal
1901487,ASSEFA Tigst,Ethiopia,Female,28,26-32,Ethiopia,ETH,true,Athletics,Athlete,"""Womens Marathon""",FALSE,1,Women's Marathon,true,Silver Medal
1939946,ATWELL Amy,Australia,Female,26,26-32,Australia,AUS,true,"3x3 Basketball, Basketball",Athlete,Women,FALSE,1,Women,true,Bronze Medal
1972646,AUGER-ALIASSIME Felix,Canada,Male,24,19-25,Canada,CAN,true,Tennis,Athlete,"""Mens Doubles"", ""Mens Singles"", Mixed Doubles",FALSE,1,Mixed Doubles,true,Bronze Medal
1917988,AVERILL Taylor,United States,Male,33,33-39,United States,USA,true,Volleyball,Athlete,Men,FALSE,1,Men,true,Bronze Medal
1948402,AVRAMOVIC Aleksa,Serbia,Male,30,26-32,Serbia,SRB,true,Basketball,Athlete,Men,FALSE,1,Men,true,Bronze Medal
1537287,AWITI ALCARAZ Prisca,Mexico,Female,29,26-32,Mexico,MEX,true,Judo,Athlete,Women -63 kg,TRUE,1,Women -63 kg,true,Silver Medal
1888993,AXELSEN Viktor,Denmark,Male,31,26-32,Denmark,DEN,true,Badminton,Athlete,"""Mens Singles""",FALSE,1,Men's Singles,true,Gold Medal
1573439,AYAYI Valeriane,France,Female,31,26-32,France,FRA,true,Basketball,Athlete,Women,TRUE,1,Women,true,Silver Medal
1543095,AZARPIRA Amirali,IR Iran,Male,23,19-25,IR Iran,IRI,true,Wrestling,Athlete,"""Mens Freestyle 97kg""",FALSE,1,Men's Freestyle 97kg,true,Bronze Medal
1924439,AZU Jeremiah,Great Britain,Male,24,19-25,Great Britain,GBR,true,Athletics,Athlete,"""Mens 100m"", ""Mens 4 x 100m Relay""",FALSE,1,Men's 4 x 100m Relay,true,Bronze Medal
1896544,AZUMA Sera,Japan,Female,25,19-25,Japan,JPN,true,Fencing,Athlete,"""Womens Foil Individual"", ""Womens Foil Team""",FALSE,1,Women's Foil Team,true,Bronze Medal
1571911,BABULFATH Tara,Sweden,Female,19,19-25,Sweden,SWE,true,Judo,Athlete,Women -48 kg,TRUE,1,Women -48 kg,true,Bronze Medal
1892359,BACHMANN ANDERSEN Daniel,Denmark,Male,35,33-39,Denmark,DEN,true,Equestrian,Athlete,"Dressage Individual, Dressage Team",TRUE,1,Dressage Team,true,Silver Medal
1954159,BACON Sarah,United States,Female,28,26-32,United States,USA,true,Diving,Athlete,"""Womens 3m Springboard"", ""Womens Synchronised 3m Springboard""",FALSE,1,Women's Synchronised 3m Springboard,true,Silver Medal
1915325,BACOSI Diana,Italy,Female,41,40-46,Italy,ITA,true,Shooting,Athlete,"Skeet Women, Skeet Mixed Team",FALSE,1,Skeet Mixed Team,true,Gold Medal
4669223,BADE Loic,France,Male,25,19-25,France,FRA,true,Football,Athlete,Men,FALSE,1,Men,true,Silver Medal
1573440,BADIANE Marieme,France,Female,30,26-32,France,FRA,true,Basketball,Athlete,Women,TRUE,1,Women,true,Silver Medal
1942033,BAENA Alex,Spain,Male,23,19-25,Spain,ESP,true,Football,Athlete,Men,FALSE,1,Men,true,Gold Medal
1960604,BAILEY Christopher,United States,Male,25,19-25,United States,USA,true,Athletics,Athlete,"""Mens 400m"", ""Mens 4 x 400m Relay""",FALSE,1,Men's 4 x 400m Relay,true,Gold Medal
1908226,BAKANOV Shani,Israel,Female,19,19-25,Israel,ISR,true,Rhythmic Gymnastics,Athlete,Group All-Around,FALSE,1,Group All-Around,true,Silver Medal
1897633,BAKASTOVA Yuliia,Ukraine,Female,28,26-32,Ukraine,UKR,true,Fencing,Athlete,"""Womens Sabre Team""",FALSE,1,Women's Sabre Team,true,Gold Medal
1913523,BALEIWAIRIKI Iosefo,Fiji,Male,27,26-32,Fiji,FIJ,true,Rugby Sevens,Athlete,Men,TRUE,1,Men,true,Silver Medal
1971905,BALK Lars,Netherlands,Male,29,26-32,Netherlands,NED,true,Hockey,Athlete,Men,FALSE,1,Men,true,Gold Medal
1916222,BALZER Sara,France,Female,30,26-32,France,FRA,true,Fencing,Athlete,"""Womens Sabre Individual"", ""Womens Sabre Team""",FALSE,1,Women's Sabre Individual,true,Silver Medal
1893845,BAN Hyojin,Korea,Female,17,12-18,Korea,KOR,true,Shooting,Athlete,"10m Air Rifle Women, 10m Air Rifle Mixed Team",FALSE,1,10m Air Rifle Women,true,Gold Medal
1899647,BANTI Caterina Marianna,Italy,Female,38,33-39,Italy,ITA,true,Sailing,Athlete,Mixed Multihull,FALSE,1,Mixed Multihull,true,Gold Medal
1935685,BARAJAS Angel,Colombia,Male,18,12-18,Colombia,COL,true,Artistic Gymnastics,Athlete,"Men, ""Mens Horizontal Bar"", ""Mens Parallel Bars""",FALSE,1,Men's Horizontal Bar,true,Silver Medal
1928530,BARANSKI Fabian,Poland,Male,26,26-32,Poland,POL,true,Rowing,Athlete,"""Mens Quadruple Sculls""",FALSE,1,Men's Quadruple Sculls,true,Bronze Medal
1541265,BARBELIN Lisa,France,Female,25,19-25,France,FRA,true,Archery,Athlete,"""Womens Individual"", ""Womens Team"", Mixed Team",TRUE,1,Women's Individual,true,Bronze Medal
1953624,BARBOSA Jade,Brazil,Female,33,33-39,Brazil,BRA,true,Artistic Gymnastics,Athlete,"Women, ""Womens All-Around"", ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault"", ""Womens Team""",FALSE,1,Women's Team,true,Bronze Medal
1550170,BARBOSU Ana,Romania,Female,18,12-18,Romania,ROU,true,Artistic Gymnastics,Athlete,"Women, ""Womens All-Around"", ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault"", ""Womens Team""",FALSE,1,Women's Floor Exercise,true,Bronze Medal
1938437,BARDZILOUSKAYA Viyaleta,Belarus,Female,20,19-25,AIN,AIN,true,Trampoline Gymnastics,Athlete,Women,FALSE,1,Women,true,Silver Medal
1912507,BARKER Elinor,Great Britain,Female,30,26-32,Great Britain,GBR,true,Cycling Track,Athlete,"""Womens Madison"", ""Womens Omnium"", ""Womens Team Pursuit""",TRUE,1,Women's Madison,true,Silver Medal
1912507,BARKER Elinor,Great Britain,Female,30,26-32,Great Britain,GBR,true,Cycling Track,Athlete,"""Womens Madison"", ""Womens Omnium"", ""Womens Team Pursuit""",TRUE,1,Women's Team Pursuit,true,Bronze Medal
1536058,BARKHORDARI Mehran,IR Iran,Male,24,19-25,IR Iran,IRI,true,Taekwondo,Athlete,Men -80kg,FALSE,1,Men -80kg,true,Silver Medal
1879661,BARRAQUE Jean Pascal,France,Male,34,33-39,France,FRA,true,Rugby Sevens,Athlete,Men,FALSE,1,Men,true,Gold Medal
1942037,BARRIOS Pablo,Spain,Male,22,19-25,Spain,ESP,true,Football,Athlete,Men,TRUE,1,Men,true,Gold Medal
1950366,BARROWS Ian,United States,Male,30,26-32,United States,USA,true,Sailing,Athlete,"""Mens Skiff""",TRUE,1,Men's Skiff,true,Bronze Medal
1566681,BARSHIM Mutaz Essa,Qatar,Male,34,33-39,Qatar,QAT,true,Athletics,Athlete,"""Mens High Jump""",TRUE,1,Men's High Jump,true,Bronze Medal
1955070,BATTEN Haley,United States,Female,26,26-32,United States,USA,true,Cycling Mountain Bike,Athlete,"""Womens Cross-country""",FALSE,1,Women's Cross-country,true,Silver Medal
1552305,BATTOCLETTI Nadia,Italy,Female,25,19-25,Italy,ITA,true,Athletics,Athlete,"""Womens 10,000m"", ""Womens 5000m""",TRUE,1,"Women's 10,000m",true,Silver Medal
1573628,BATUM Nicolas,France,Male,36,33-39,France,FRA,true,Basketball,Athlete,Men,FALSE,1,Men,true,Silver Medal
1914467,BAVUUDORJ Baasankhuu,Mongolia,Female,25,19-25,Mongolia,MGL,true,Judo,Athlete,"Women -48 kg, Mixed Team",TRUE,1,Women -48 kg,true,Silver Medal
1543963,BEAUGRAND Cassandre,France,Female,28,26-32,France,FRA,true,Triathlon,Athlete,"""Womens Individual""",FALSE,1,Women's Individual,true,Gold Medal
1960659,BEDNAREK Kenneth,United States,Male,26,26-32,United States,USA,true,Athletics,Athlete,"""Mens 100m"", ""Mens 200m"", ""Mens 4 x 100m Relay""",TRUE,1,Men's 200m,true,Silver Medal
1548817,BEKAURI Lasha,Georgia,Male,24,19-25,Georgia,GEO,true,Judo,Athlete,"Men -90 kg, Mixed Team",FALSE,1,Men -90 kg,true,Gold Medal
1550116,BELENIUK Zhan,Ukraine,Male,34,33-39,Ukraine,UKR,true,Wrestling,Athlete,"""Mens Greco-Roman 87kg""",FALSE,1,Men's Greco-Roman 87kg,true,Bronze Medal
1956840,BELL Georgia,Great Britain,Female,31,26-32,Great Britain,GBR,true,Athletics,Athlete,"""Womens 1500m""",FALSE,1,Women's 1500m,true,Bronze Medal
1925349,BELLANDI Alice,Italy,Female,26,26-32,Italy,ITA,true,Judo,Athlete,"Women -78 kg, Mixed Team",FALSE,1,Women -78 kg,true,Gold Medal
1967241,BEN SEGHIR Eliesse,Morocco,Male,20,19-25,Morocco,MAR,true,Football,Athlete,Men,TRUE,1,Men,true,Bronze Medal
1955071,BENEGAS Perris,United States,Female,29,26-32,United States,USA,true,Cycling BMX Freestyle,Athlete,"""Womens Park""",FALSE,1,Women's Park,true,Silver Medal
1960684,BENJAMIN Rai,United States,Male,27,26-32,United States,USA,true,Athletics,Athlete,"""Mens 400m Hurdles"", ""Mens 4 x 400m Relay""",TRUE,1,Men's 4 x 400m Relay,true,Gold Medal
